filename,sym_type,note_pitch
1_1.png,K:t,-
1_10.png,8,B4
1_11.png,8,B4
1_12.png,8,C5
1_13.png,8,B4
1_15.png,8,E5
1_16.png,16,D5
1_18.png,16,C5
1_2.png,M:3/4,-
1_22.png,8,F5
1_23.png,8,A4
1_24.png,8,B4
1_25.png,4,C5
1_4.png,2,E5
1_7.png,16,C5
1_8.png,4,C5
1_9.png,16,C5
20260326202254_1.png,K:t,-
20260326202254_11.png,4,G4
20260326202254_13.png,4,D5
20260326202254_15.png,sh,-
20260326202254_16.png,16,D5
20260326202254_17.png,16,B4
20260326202254_18.png,4,E5
20260326202254_19.png,4,D5
20260326202254_3.png,4,G4
20260326202254_5.png,8,E5
20260326202254_6.png,8,B4
20260326202254_8.png,8,D5
20260326202321_1.png,K:t,-
20260326202321_11.png,bm,-
20260326202321_14.png,4,D5
20260326202321_15.png,.,-
20260409194355_5.png,4,F5
20260409194355_6.png,4,E5
20260409194355_8.png,4,E5
20260409194610_1.png,K:t,-
20260409194610_10.png,8,F5
20260409194610_11.png,8,E5
20260409194610_13.png,4,B4
20260409194610_14.png,8,D5
20260409194610_15.png,8,E5
20260409194610_16.png,8,D5
20260409194610_19.png,sh,-
20260409194610_2.png,sh,-
20260409194610_20.png,8,B4
20260409194610_3.png,sh,-
20260409194610_4.png,M:9/8,-
20260409194610_6.png,8,B4
20260409194610_9.png,8,G5
20260409194619_1.png,K:t,-
20260409194619_10.png,sh,-
20260409194619_11.png,16,G4
20260409194619_12.png,16,B4
20260409194619_15.png,8,B4
20260409194619_16.png,8,C5
20260409194619_2.png,sh,-
20260409194619_20.png,sh,-
20260409194619_21.png,8,G4
20260409194619_22.png,8,B4
20260409194619_3.png,sh,-
20260409194619_6.png,sh,-
20260409194619_7.png,8,G4
20260409194619_9.png,8,B4
20260409194739_10.png,4,F4
20260409194739_11.png,4,G4
20260409194739_12.png,4,D4
20260409194739_16.png,4,D4
20260409194739_17.png,8,E4
20260409194739_18.png,2,F4
20260409194739_2.png,K:t,-
20260409194739_3.png,4,E4
20260409194739_4.png,4,C4
20260409194739_5.png,8,C4
20260409194739_8.png,4,C4
20260409194739_9.png,4,G4
20260409194801_1.png,K:t,-
20260409194801_10.png,sh,-
20260409194801_11.png,4,F5
20260409194801_12.png,2,A5
20260409194801_2.png,bm,-
20260409194801_3.png,8,E6
20260409194801_4.png,4,D6
20260409194801_5.png,8,C6
20260409194801_6.png,8,B5
20260409194801_7.png,8,A5
20260409194801_8.png,4,G5
20260409194801_9.png,4,E6
20260409194816_1.png,K:t,-
20260409194816_10.png,4,D6
20260409194816_2.png,4,D6
20260409194816_3.png,4,D6
20260409194816_4.png,4,D6
20260409194816_5.png,4,D6
20260409194816_6.png,2,E6
20260409194816_8.png,4,D6
20260409194816_9.png,4,D6
20260409194833_1.png,K:t,-
20260409194833_10.png,8,S4
20260409194833_11.png,2,D4
20260409194833_16.png,2,G4
20260409194833_17.png,4,G4
